mapUid	scoTid	name	unity	icon	type	level	enterLevel	totalTime	costManual	costGold	enterLimit	canRevive	freeReviveLimit	invincibleTime	canSweep	itemReward	expReward	goldReward	sliverReward	copperReward	star	minPlayer	maxPlayer	openBoxCost
14	204501	清水小榭(无尽)	x4n1	Button_fubenxuanzetu1B	1	4	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
15	302501	红枫庄园(普通）	q2n1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
16	303401	红枫庄园别院(普通)	q3d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
17	302501	红枫庄园(豪杰)	q2n1	Button_fubenxuanzetu1B	1	2	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
18	303401	红枫庄园别院(豪杰)	q3d1	Button_fubenxuanzetu1B	1	2	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
19	302501	红枫庄园(宗师)	q2n1	Button_fubenxuanzetu1B	1	3	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
20	303401	红枫庄园别院(宗师)	q3d1	Button_fubenxuanzetu1B	1	3	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
21	302501	红枫庄园(无尽)	q2n1	Button_fubenxuanzetu1B	1	4	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
22	303401	红枫庄园别院(无尽)	q3d1	Button_fubenxuanzetu1B	1	4	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
23	403401	冻结的临水亭(普通)	d3d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
24	401402	松临庭院(普通)	d1d2	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
25	403401	冻结的临水亭(豪杰)	d3d1	Button_fubenxuanzetu1B	1	2	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
26	401402	松临庭院(豪杰)	d1d2	Button_fubenxuanzetu1B	1	2	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
27	403401	冻结的临水亭(宗师)	d3d1	Button_fubenxuanzetu1B	1	3	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
28	401402	松临庭院(宗师)	d1d2	Button_fubenxuanzetu1B	1	3	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
29	403401	冻结的临水亭(无尽)	d3d1	Button_fubenxuanzetu1B	1	4	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
30	401402	松临庭院(无尽)	d1d2	Button_fubenxuanzetu1B	1	4	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
31	5	主城	city1	Button_fubenxuanzetu1B	3	1	1	0	0	0	0	0	0	0	0	32001*10#32002*21	0	0	0	0	1001*1#2001*2#3001*3#4001*4#5001*6	0	0	1000*200*304
